Fecha,positivos,pendientes,negativos
2020-02-28,239,856,10400
2020-02-29,241,863,10482
2020-03-01,246,875,10625
2020-03-02,254,900,10900
2020-03-03,266,926,11175
2020-03-04,275,958,11402
2020-03-05,285,978,11618
2020-03-06,290,996,11785
2020-03-07,295,1005,11856
2020-03-08,303,1017,11961
2020-03-09,308,1040,12196
2020-03-10,323,1076,12434
2020-03-11,362,1128,12712
2020-03-12,401,1191,13054
2020-03-13,466,1300,13425
2020-03-14,517,1368,13591
2020-03-15,555,1420,13795
2020-03-16,627,1528,14085
2020-03-17,729,1690,14703
2020-03-18,847,1859,15370
2020-03-19,998,2036,16060
2020-03-20,1129,2213,16686
2020-03-21,1210,2324,17096
2020-03-22,1278,2423,17440
2020-03-23,1439,2651,18358
2020-03-24,1659,2938,19508
2020-03-25,1835,3317,20755
2020-03-26,2054,3713,21913
2020-03-27,2310,4157,23257
2020-03-28,2493,4438,23862
2020-03-29,2647,4673,24463
2020-03-30,2982,5251,25811
2020-03-31,3287,5762,27016
2020-04-01,3650,6342,28268
2020-04-02,3988,6876,29646
2020-04-03,4362,7447,31032
2020-04-04,4601,7772,31889
2020-04-05,4846,8068,32470
2020-04-06,5451,8788,33924
2020-04-07,5947,9397,35446
2020-04-08,6504,10068,37100
2020-04-09,6960,10606,38333
2020-04-10,7497,11333,39743
2020-04-11,7940,11816,40714
2020-04-12,8387,12305,41472
2020-04-13,9291,13312,43407
2020-04-14,10179,14327,45439
2020-04-15,11116,15390,47337
2020-04-16,12067,16465,49111
2020-04-17,13166,17752,51085
2020-04-18,13933,18571,51972
2020-04-19,14663,19332,52773
2020-04-20,16097,20923,54974
2020-04-21,17498,22422,56931
2020-04-22,18840,23924,58846
2020-04-23,20267,25512,60997
2020-04-24,21914,27330,63353
2020-04-25,22991,28526,64541
2020-04-26,24011,29626,65483
2020-04-27,25843,31682,68007
2020-04-28,27706,33764,70616
2020-04-29,29537,35778,73551
2020-04-30,31356,37770,76880
2020-05-01,32801,39392,78600
2020-05-02,34180,40870,80062
2020-05-03,35454,42204,81579
2020-05-04,38000,44968,84992
2020-05-05,40119,47243,87986
2020-05-06,42416,49910,91407
2020-05-07,44847,52783,94824
2020-05-08,47282,55561,98574
2020-05-09,48831,57262,100531
2020-05-10,50279,58799,101882
2020-05-11,53285,62040,105813
2020-05-12,56267,65155,109926
2020-05-13,59411,68408,113749
2020-05-14,62525,71599,117903
2020-05-15,66095,75339,122186
2020-05-16,68279,77581,124227
2020-05-17,69936,79268,125479
2020-05-18,74024,83461,129980
2020-05-19,77628,87144,134135
2020-05-20,81568,91178,138567
2020-05-21,85588,95264,142834
2020-05-22,89604,99442,147428
2020-05-23,91920,101832,149597
2020-05-24,93828,103778,151318
2020-05-25,98511,108584,156186
2020-05-26,102851,113064,160980
2020-05-27,107324,117669,165911
2020-05-28,111565,122036,170638
2020-05-29,115940,126513,175569
2020-05-30,118694,129314,178116
2020-05-31,120809,131454,179866
2020-06-01,126143,136941,185088
2020-06-02,130903,141873,190183
2020-06-03,135878,147011,195583
2020-06-04,140812,152086,200859
2020-06-05,145874,157301,206477
2020-06-06,148947,160437,209083
2020-06-07,151343,162889,210890
2020-06-08,157527,169262,216506
2020-06-09,163321,175267,222508
2020-06-10,169086,181231,228547
2020-06-11,174508,186877,234548
2020-06-12,180183,192768,240820
2020-06-13,183354,196025,243403
2020-06-14,185981,198721,245366
2020-06-15,192580,205595,252063
2020-06-16,199014,212296,258419
2020-06-17,205154,218613,264478
2020-06-18,211249,224962,270322
2020-06-19,217351,231311,276165
2020-06-20,220973,235001,278900
2020-06-21,223502,237576,280512
2020-06-22,230410,244628,286169
2020-06-23,236997,251389,292518
2020-06-24,243301,257908,298497
2020-06-25,249601,264495,304901
2020-06-26,256170,271403,311478
2020-06-27,259883,275177,314567
2020-06-28,262887,278245,316644
2020-06-29,270414,286016,323867
2020-06-30,277601,293480,330769
2020-07-01,285270,301399,337997
2020-07-02,292329,308742,344585
2020-07-03,299405,316141,351568
2020-07-04,303096,319845,354390
2020-07-05,306121,322918,356562
2020-07-06,313974,331064,364098
2020-07-07,321881,339251,371560
2020-07-08,329330,346989,378842
2020-07-09,336385,354338,385776
