Fecha,positivos,pendientes,negativos
2020-02-28,7,20,214
2020-02-29,2,7,82
2020-03-01,5,12,143
2020-03-02,8,25,275
2020-03-03,12,26,275
2020-03-04,9,32,227
2020-03-05,10,20,216
2020-03-06,5,18,167
2020-03-07,5,9,71
2020-03-08,8,12,105
2020-03-09,5,23,235
2020-03-10,15,36,238
2020-03-11,39,52,278
2020-03-12,39,63,342
2020-03-13,65,109,371
2020-03-14,51,68,166
2020-03-15,38,52,204
2020-03-16,72,108,290
2020-03-17,102,162,618
2020-03-18,118,169,667
2020-03-19,151,177,690
2020-03-20,131,177,626
2020-03-21,81,111,410
2020-03-22,68,99,344
2020-03-23,161,228,918
2020-03-24,220,287,1150
2020-03-25,176,379,1247
2020-03-26,219,396,1158
2020-03-27,256,444,1344
2020-03-28,183,281,605
2020-03-29,154,235,601
2020-03-30,335,578,1348
2020-03-31,305,511,1205
2020-04-01,363,580,1252
2020-04-02,338,534,1378
2020-04-03,374,571,1386
2020-04-04,239,325,857
2020-04-05,245,296,581
2020-04-06,605,720,1454
2020-04-07,496,609,1522
2020-04-08,557,671,1654
2020-04-09,456,538,1233
2020-04-10,537,727,1410
2020-04-11,443,483,971
2020-04-12,447,489,758
2020-04-13,904,1007,1935
2020-04-14,888,1015,2032
2020-04-15,937,1063,1898
2020-04-16,951,1075,1774
2020-04-17,1099,1287,1974
2020-04-18,767,819,887
2020-04-19,730,761,801
2020-04-20,1434,1591,2201
2020-04-21,1401,1499,1957
2020-04-22,1342,1502,1915
2020-04-23,1427,1588,2151
2020-04-24,1647,1818,2356
2020-04-25,1077,1196,1188
2020-04-26,1020,1100,942
2020-04-27,1832,2056,2524
2020-04-28,1863,2082,2609
2020-04-29,1831,2014,2935
2020-04-30,1819,1992,3329
2020-05-01,1445,1622,1720
2020-05-02,1379,1478,1462
2020-05-03,1274,1334,1517
2020-05-04,2546,2764,3413
2020-05-05,2119,2275,2994
2020-05-06,2297,2667,3421
2020-05-07,2431,2873,3417
2020-05-08,2435,2778,3750
2020-05-09,1549,1701,1957
2020-05-10,1448,1537,1351
2020-05-11,3006,3241,3931
2020-05-12,2982,3115,4113
2020-05-13,3144,3253,3823
2020-05-14,3114,3191,4154
2020-05-15,3570,3740,4283
2020-05-16,2184,2242,2041
2020-05-17,1657,1687,1252
2020-05-18,4088,4193,4501
2020-05-19,3604,3683,4155
2020-05-20,3940,4034,4432
2020-05-21,4020,4086,4267
2020-05-22,4016,4178,4594
2020-05-23,2316,2390,2169
2020-05-24,1908,1946,1721
2020-05-25,4683,4806,4868
2020-05-26,4340,4480,4794
2020-05-27,4473,4605,4931
2020-05-28,4241,4367,4727
2020-05-29,4375,4477,4931
2020-05-30,2754,2801,2547
2020-05-31,2115,2140,1750
2020-06-01,5334,5487,5222
2020-06-02,4760,4932,5095
2020-06-03,4975,5138,5400
2020-06-04,4934,5075,5276
2020-06-05,5062,5215,5618
2020-06-06,3073,3136,2606
2020-06-07,2396,2452,1807
2020-06-08,6184,6373,5616
2020-06-09,5794,6005,6002
2020-06-10,5765,5964,6039
2020-06-11,5422,5646,6001
2020-06-12,5675,5891,6272
2020-06-13,3171,3257,2583
2020-06-14,2627,2696,1963
2020-06-15,6599,6874,6697
2020-06-16,6434,6701,6356
2020-06-17,6140,6317,6059
2020-06-18,6095,6349,5844
2020-06-19,6102,6349,5843
2020-06-20,3622,3690,2735
2020-06-21,2529,2575,1612
2020-06-22,6908,7052,5657
2020-06-23,6587,6761,6349
2020-06-24,6304,6519,5979
2020-06-25,6300,6587,6404
2020-06-26,6569,6908,6577
2020-06-27,3713,3774,3089
2020-06-28,3004,3068,2077
2020-06-29,7527,7771,7223
2020-06-30,7187,7464,6902
2020-07-01,7669,7919,7228
2020-07-02,7059,7343,6588
2020-07-03,7076,7399,6983
2020-07-04,3691,3704,2822
2020-07-05,3025,3073,2172
2020-07-06,7853,8146,7536
2020-07-07,7907,8187,7462
2020-07-08,7449,7738,7282
2020-07-09,7055,7349,6934
2020-07-10,7167,7570,6951
2020-07-11,3903,3821,3031
2020-07-12,3244,3190,2106
2020-07-13,8889,8728,7600
2020-07-14,8456,8359,7359
2020-07-15,8835,8883,8099
2020-07-16,8249,8162,7972
2020-07-17,8018,7900,8230
2020-07-18,4419,4309,3628
2020-07-19,3441,3273,2033
2020-07-20,9118,9178,8248
2020-07-21,8646,8774,7896
2020-07-22,8307,8383,8092
2020-07-23,8069,8141,7730
2020-07-24,8018,8021,7654
2020-07-25,4184,4078,3261
2020-07-26,3037,2909,2157
2020-07-27,8476,8492,7597
2020-07-28,8195,7997,7963
2020-07-29,7658,7652,7612
2020-07-30,7582,7519,7701
2020-07-31,6727,6789,7571
2020-08-01,3814,3731,3544
2020-08-02,2528,2467,1992
2020-08-03,7506,7455,7363
2020-08-04,7394,7342,7992
2020-08-05,7169,7037,7824
2020-08-06,6693,6683,7610
2020-08-07,6607,6492,7777
2020-08-08,3660,3500,3258
2020-08-09,2413,2317,1946
2020-08-10,7213,7178,8013
2020-08-11,6894,6922,8147
2020-08-12,6467,6550,7987
2020-08-13,6446,6457,7957
2020-08-14,6210,6215,7973
2020-08-15,3233,3238,3363
2020-08-16,2314,2306,1995
2020-08-17,6910,7004,7815
2020-08-18,6706,6787,8338
2020-08-19,6277,6333,8062
2020-08-20,6016,5975,7168
2020-08-21,6304,6422,8036
2020-08-22,3137,3037,3488
2020-08-23,2331,2317,1945
2020-08-24,7037,7093,7805
2020-08-25,6644,6757,8162
2020-08-26,7037,7012,9396
2020-08-27,6447,6539,9333
2020-08-28,6332,6355,9308
2020-08-29,3126,3138,4307
2020-08-30,2192,2162,2116
2020-08-31,6972,6953,8251
2020-09-01,7106,7140,9185
2020-09-02,6957,7050,9430
2020-09-03,6282,6346,9433
2020-09-04,6064,6163,9463
2020-09-05,2878,2859,3841
2020-09-06,2074,2044,2061
2020-09-07,6388,6427,8751
2020-09-08,6614,6652,9431
2020-09-09,6080,6169,9388
2020-09-10,5709,5752,9380
2020-09-11,5510,5596,8934
2020-09-12,2790,2743,3614
2020-09-13,1889,1833,2027
2020-09-14,6250,6302,8818
2020-09-15,4331,4301,6971
2020-09-16,2205,2159,2356
2020-09-17,6369,6409,8879
2020-09-18,5668,5769,9070
2020-09-19,2783,2753,3508
2020-09-20,1807,1744,2000
2020-09-21,6282,6355,8465
2020-09-22,6171,6224,9225
2020-09-23,5802,5943,8901
2020-09-24,5367,5463,8520
2020-09-25,5283,5302,8724
2020-09-26,2636,2615,3600
2020-09-27,1802,1757,2000
2020-09-28,6232,6249,8933
2020-09-29,6003,6012,9359
2020-09-30,5524,5581,8994
2020-10-01,5278,5293,8437
2020-10-02,5022,5000,8422
2020-10-03,2421,2436,3324
2020-10-04,1729,1693,1951
2020-10-05,5822,5841,7698
