Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-01-05,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,23,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,27,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,30,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,38,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,45,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,56,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,60,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,63,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,65,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,68,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,69,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,75,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,80,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,81,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,86,0,0,0,0,0,0,1,0,0,0,23,0,0,1,0,0,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,86,0,0,0,0,0,0,1,0,0,0,23,0,0,1,0,0,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,93,0,0,0,0,0,0,1,0,0,0,25,0,0,1,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,95,0,0,0,0,0,0,1,0,0,0,27,0,0,1,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,96,0,0,0,0,0,0,1,0,0,0,28,0,0,1,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,100,0,0,0,0,0,0,1,0,0,0,29,0,0,1,0,0,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,101,0,0,0,0,0,0,1,0,0,0,30,0,0,1,0,0,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,104,0,0,0,0,0,0,1,0,0,0,33,0,0,1,0,0,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,104,0,0,0,0,0,0,1,0,0,0,33,0,0,1,0,0,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,111,0,0,0,0,0,0,1,0,0,0,40,0,0,1,0,0,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,114,0,0,0,0,0,0,1,0,0,0,43,0,0,1,0,0,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,116,0,0,0,0,0,0,1,0,0,0,45,0,0,1,0,0,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,117,0,0,0,0,0,0,1,0,0,0,46,0,0,1,0,0,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,120,0,0,0,0,0,0,1,0,0,0,47,0,0,1,0,0,3,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,120,0,0,0,0,0,0,1,0,0,0,47,0,0,1,0,0,3,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,125,0,0,0,0,0,0,1,0,0,0,52,0,0,1,0,0,3,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,125,0,0,0,0,0,0,1,0,0,0,52,0,0,1,0,0,3,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,130,0,0,0,0,0,0,1,0,0,0,55,0,0,1,0,0,3,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,134,0,0,0,0,0,0,1,0,0,0,59,0,0,1,0,0,3,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,138,0,0,0,0,0,0,1,0,0,0,63,0,0,1,0,0,3,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,138,0,0,0,0,0,0,1,0,0,0,63,0,0,1,0,0,3,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,148,0,0,0,0,0,0,1,0,0,0,73,0,0,1,0,0,3,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,151,0,0,0,0,0,0,1,0,0,0,76,0,0,1,0,0,3,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,155,0,0,0,0,0,0,1,0,0,0,80,0,0,1,0,0,3,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,164,0,0,0,0,0,0,1,0,0,0,87,0,0,1,0,1,3,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,177,0,0,0,0,0,0,1,0,0,0,97,0,0,1,0,1,3,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,186,1,0,0,0,0,0,1,0,0,0,104,0,0,1,0,1,3,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,190,1,0,0,0,0,0,1,0,0,0,107,0,0,1,0,1,3,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,195,1,0,0,0,0,0,1,0,0,0,112,0,0,1,0,1,3,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,198,1,0,0,0,0,0,1,0,0,0,114,0,0,1,0,1,3,1,75,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-24,209,1,0,0,0,0,0,2,0,0,0,124,0,0,1,0,1,3,1,75,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-25,214,1,0,0,0,0,0,2,0,0,0,129,0,0,1,0,1,3,1,75,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-26,219,1,0,0,0,0,0,3,0,0,0,131,0,0,1,0,1,3,2,76,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-27,227,1,0,0,0,0,0,5,0,0,0,134,0,0,1,0,1,3,2,77,0,0,0,0,0,2,1,0,0,0,0,0,0
2020-02-28,233,1,0,0,0,0,0,5,1,0,0,138,0,0,1,0,1,4,2,77,0,0,0,0,0,2,1,0,0,0,0,0,0
2020-02-29,234,1,0,0,0,1,0,5,1,0,0,138,0,0,1,0,1,4,2,77,0,0,0,0,0,2,1,0,0,0,0,0,0
2020-03-01,239,1,0,0,0,1,0,5,1,0,0,142,0,0,1,0,1,4,2,78,0,0,0,0,0,2,1,0,0,0,0,0,0
2020-03-02,246,1,0,0,0,1,0,5,1,0,0,148,0,0,1,0,1,4,2,78,0,0,0,0,0,2,2,0,0,0,0,0,0
2020-03-03,256,1,1,0,0,1,0,7,1,0,0,153,0,0,1,0,1,4,3,78,0,0,0,0,0,2,2,0,0,0,0,0,1
2020-03-04,263,1,1,0,0,1,0,10,1,0,0,156,0,0,1,0,1,4,3,79,0,0,0,0,0,2,2,0,0,0,0,0,1
2020-03-05,272,1,1,0,0,1,0,13,1,0,0,160,0,0,1,0,1,5,3,79,0,0,0,0,0,2,2,0,0,0,0,0,2
2020-03-06,277,1,1,0,0,1,0,14,1,0,0,164,0,0,1,0,1,5,3,79,0,0,0,0,0,2,2,0,0,0,0,0,2
2020-03-07,282,1,1,0,0,1,0,16,1,0,0,167,0,0,1,0,1,5,3,79,0,0,0,0,0,2,2,0,0,0,0,0,2
2020-03-08,289,1,1,0,0,1,0,19,1,0,0,169,0,0,1,0,1,6,3,79,0,0,0,0,0,2,2,0,0,0,0,1,2
2020-03-09,293,1,1,0,0,1,0,21,1,0,0,170,0,0,1,0,2,6,3,79,0,0,0,0,0,2,2,0,0,0,0,1,2
2020-03-10,305,1,1,0,0,1,0,24,1,0,0,171,0,0,1,0,2,7,3,82,0,0,2,0,0,2,2,0,0,0,0,1,4
2020-03-11,338,1,2,0,0,1,0,41,1,0,1,175,0,0,2,0,2,7,3,87,0,1,3,0,0,2,2,0,0,0,0,1,6
2020-03-12,370,2,2,0,1,1,0,61,1,0,1,175,0,0,5,0,2,7,3,88,0,3,4,0,0,2,2,0,0,0,0,2,8
2020-03-13,429,2,2,0,1,1,0,86,1,0,2,176,2,0,7,0,2,17,4,94,2,7,6,0,2,2,3,0,0,0,0,2,8
2020-03-14,479,3,2,0,1,1,1,112,1,1,3,176,2,0,12,0,2,19,4,100,2,10,7,3,2,2,3,0,0,0,0,2,8
2020-03-15,509,3,2,0,1,1,1,126,2,1,3,178,2,0,13,0,2,21,4,100,2,12,7,3,2,2,4,0,1,0,2,6,8
2020-03-16,568,3,3,0,1,1,1,149,2,2,3,180,4,0,24,0,2,25,4,106,2,14,7,6,3,2,4,0,2,0,2,8,8
2020-03-17,662,3,6,0,1,1,1,184,4,2,3,187,9,2,29,0,3,27,4,113,2,19,8,10,8,3,6,1,2,0,2,14,8
2020-03-18,771,6,9,1,1,2,2,216,6,2,4,199,10,2,46,1,4,29,5,125,2,25,10,10,8,3,7,4,2,0,8,14,8
2020-03-19,871,7,11,1,1,2,4,261,9,2,4,199,10,2,55,1,4,33,6,129,2,32,13,14,11,3,7,6,3,0,13,16,10
2020-03-20,958,9,14,2,1,2,6,282,12,2,4,203,10,4,58,3,4,41,6,141,2,37,14,16,14,3,8,8,4,0,15,20,13
2020-03-21,1007,10,15,3,1,2,8,288,12,2,4,214,11,7,59,8,4,42,6,144,3,39,15,19,17,3,9,8,4,0,16,20,14
2020-03-22,1040,11,17,3,1,2,9,294,12,2,4,218,11,7,61,8,4,43,6,147,4,40,15,21,18,3,9,8,5,0,16,26,15
2020-03-23,1142,15,22,7,1,3,9,318,12,2,4,225,12,8,69,10,6,47,7,151,6,48,17,24,19,6,10,9,6,2,20,31,16
2020-03-24,1260,15,24,9,1,3,10,340,17,2,5,225,12,8,75,13,8,64,9,156,7,60,21,30,19,10,14,19,6,3,20,38,17
2020-03-25,1368,31,29,9,1,5,11,357,17,2,5,228,14,10,81,14,8,83,9,158,10,65,23,35,19,15,18,22,6,3,22,41,17
